# Manual Architectural Sources for Web Scraping
# Format: Name|URL|Category
# Categories: News, Academic, Research, Innovation, Regional

# === News & Publications ===
ArchDaily|https://www.archdaily.com|News
Dezeen|https://www.dezeen.com|News
DesignBoom|https://www.designboom.com|News
Architizer|https://architizer.com|News
Architectural Record|https://www.architecturalrecord.com|News
Architectural Digest|https://www.architecturaldigest.com|News
Architectural Review|https://www.architectural-review.com|News
Domus|https://www.domusweb.it|News

# === Academic Institutions ===
MIT Media Lab|https://www.media.mit.edu|Academic
Harvard GSD|https://www.gsd.harvard.edu|Academic
Yale Architecture|https://www.architecture.yale.edu|Academic
Columbia GSAPP|https://www.arch.columbia.edu|Academic
AA School of Architecture|https://www.aaschool.ac.uk|Academic
Berlage Institute|https://theberlage.nl|Academic
ETH Zurich Architecture|https://arch.ethz.ch|Academic
TU Delft Architecture|https://www.tudelft.nl/en/architecture-and-the-built-environment|Academic

# === Research & Innovation ===
Archinect|https://archinect.com|Innovation
Architecture Lab|https://www.architecturelab.net|Innovation
Architecture Now|https://architecturenow.co.nz|Innovation
Architecture & Design|https://www.architectureanddesign.com.au|Innovation

# === Regional Publications ===
Architecture Australia|https://architectureau.com|Regional
Canadian Architect|https://www.canadianarchitect.com|Regional
Architectural Digest India|https://www.architecturaldigest.in|Regional
Architectural Digest Middle East|https://www.architecturaldigestme.com|Regional
Architectural Digest China|https://www.architecturaldigest.cn|Regional 
